,algo,mean_test_score,std_test_score,params
0,randomforest,0.7645055359377549,0.008092068367224606,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
1,randomforest,0.7660437733606151,0.007382535249643641,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
2,randomforest,0.770318555065671,0.0069391046190234885,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 30, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
3,randomforest,0.7692365573514878,0.007049082951105794,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 40, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
4,randomforest,0.7695170387145701,0.0070109880839422465,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
5,randomforest,0.7705234124413501,0.007153529426558671,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 60, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
6,randomforest,0.7738860394217365,0.006188089263680579,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 70, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
7,randomforest,0.7735227985103099,0.006631757792303728,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 80, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
8,randomforest,0.7753151025514796,0.0060585410768800784,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 90, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
9,randomforest,0.7748590922466868,0.006593237677388441,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
10,randomforest,0.7743682927925855,0.006925225835340894,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 110, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
11,randomforest,0.7645106946147282,0.008100635497091254,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 10, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
12,randomforest,0.7660357571364217,0.00737005659359896,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 10, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
13,randomforest,0.7703136170107004,0.006923711712517817,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 10, 'n_estimators': 30, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
14,randomforest,0.7692373546491187,0.007028841558190372,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 10, 'n_estimators': 40, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
15,randomforest,0.7695246084815615,0.00697874961370769,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 10, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
16,randomforest,0.770538865163864,0.00717506980109902,"{'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 10, 'n_estimators': 60, 'n_jobs': -1, 'random_state': 42, 'warm_start': True}"
